Variable,Estimate (SE),CI 2.5%,CI 97.5%,p-value
"Baseline salary (2018, $1k AUD)","-0.0459
(0.0868)",-0.2160976964909318,0.1242873184742771,0.5970472569333212
Constant,"-1.7393
(5.3791)",-12.282209323777415,8.803545491282886,0.746431017217055
