Variable,Coef,SE,CI_Low,CI_High,Pval
"Baseline salary (2018, $1k)",-0.04590518900832735,0.08683450758537466,-0.2160976964909318,0.1242873184742771,0.5970472569333212
Constant (Intercept),-1.7393319162472651,5.379117928028792,-12.282209323777415,8.803545491282886,0.746431017217055
