Study_Area,Salary_18_k,delta_fte,cooks_d,leverage,stud_resid
Pharmacy,47.0,-0.7999999999999972,0.1792166549248557,0.1999390232994771,1.2123282197948995
Dentistry,83.7,-6.799999999999997,0.15881425030115096,0.4812395536567744,-0.5747391554178378
Medicine,73.0,-8.200000000000003,0.14516791295159923,0.1720328496418786,-1.195358815210743
Architecture and built environment,58.7,-10.0,0.10438039912861938,0.050747159022412766,-2.1578885267209396
Engineering,65.0,-0.09999999999999432,0.09178844431781269,0.06302144217674377,1.737654656560103
